Species,v,kap,kap_R,p_M,k_J,kap_G,k,g,f_tL,p_Am,w,E_m,t_0
Butorides virescens,0.0272,0.8821,0.95,1023.0,0.04132,0.8002,0.2957,,,,,,
Cochlearius cochlearius,0.02845,0.9668,0.95,517.0,0.02058,0.7996,0.2916,,,,,,
Egretta caerulea,0.03166,0.6722,0.95,938.2,0.04018,0.8034,0.3123,,,,,,
Egretta gularis,0.03526,0.9745,0.95,529.0,0.02118,0.7999,0.2932,,,,,,
Egretta thula,0.04389,0.9479,0.95,719.2,0.0294,0.8002,0.2993,,,,,,
Egretta tricolor,0.05984,0.7511,0.95,481.1,0.02107,0.8018,0.3199,,,,,,
Ixobrychus minutus,0.03108,0.8961,0.95,1226.0,0.04955,0.7997,0.2961,,,,,,
Nycticorax nycticorax,0.03263,0.9066,0.95,711.4,0.02888,0.7998,0.2973,,,,,,
Platalea ajaja,0.04953,0.9678,0.95,557.1,0.02342,0.8004,0.3076,,,,,,
Platalea alba,0.03933,0.9872,0.95,427.5,0.01726,0.7997,0.2958,,,,,,
Platalea leucorodia,0.03899,0.9309,0.95,1307.0,0.05249,0.7998,0.2942,,,,,,
Platalea regia,0.04639,0.9374,0.95,544.9,0.02218,0.7993,0.2983,,,,,,
Eudocimus albus,0.04159,0.9645,0.95,625.9,0.0256,0.8012,0.2991,,,,,,
Eudocimus ruber,0.03843,0.967,0.95,600.7,0.02459,0.7999,0.2997,,,,,,
Geronticus calvus,0.0411,0.9674,0.95,502.2,0.02058,0.8005,0.2999,,,,,,
Geronticus eremita,0.03762,0.962,0.95,667.3,0.02736,0.8003,0.3001,,,,,,
Lophotibis cristata,0.04,0.8002,0.95,634.4,0.02855,0.8028,0.3283,,,,,,
Nipponia nippon,0.02821,0.926,0.95,1174.0,0.04616,0.7987,0.2884,,,,,,
Plegadis chihi,0.04164,0.9554,0.95,722.2,0.02954,0.8,0.2996,,,,,,
Plegadis falcinellus,0.03053,0.9337,0.95,1265.0,0.0512,0.7995,0.2966,,,,,,
Threskiornis aethiopicus,0.04115,0.9843,0.95,472.5,0.01923,0.7989,0.2984,,,,,,
Threskiornis molucca,0.0413,0.9471,0.95,1016.0,0.04047,0.7991,0.2921,,,,,,
Chelictinia riocourii,0.01955,0.8483,0.95,1126.0,0.0461,0.7998,0.2998,,,,,,
Elanus caeruleus,0.0202,0.9298,0.95,2022.0,0.08437,0.8003,0.3054,,,,,,
Gypaetus barbatus,0.02106,0.9699,0.95,485.9,0.02034,0.8,0.3064,,,,,,
Neophron percnopterus,0.0315,0.7432,0.95,647.2,0.02651,0.7999,0.3,,,,,,
Pernis apivorus,0.03128,0.9689,0.95,454.3,0.01824,0.7993,0.2941,,,,,,
Circaetus cinereus,0.01715,0.9474,0.95,917.5,0.03738,0.7992,0.2986,,,,,,
Circaetus pectoralis,0.02485,0.9569,0.95,553.2,0.02267,0.7999,0.3,,,,,,
Necrosyrtes monachus,0.01995,0.9613,0.95,576.9,0.02465,0.801,0.3125,,,,,,
Gyps rueppellii,0.01887,0.974,0.95,470.9,0.0186,0.799,0.2896,,,,,,
Gyps africanus,0.02724,0.9588,0.95,348.7,0.01609,0.8045,0.3359,,,,,,
Gyps coprotheres,0.02035,0.984,0.95,439.4,0.0177,0.7997,0.2952,,,,,,
Torgos tracheliotus,0.02558,0.963,0.95,521.3,0.02081,0.7991,0.2926,,,,,,
Harpia harpyja,0.02257,0.9775,0.95,311.2,0.0125,0.7968,0.2953,,,,,,
Morphnus guianensis,0.01635,0.9469,0.95,401.2,0.01715,0.8022,0.3122,,,,,,
Aquila chrysaetos,0.02587,0.9807,0.95,478.9,0.01962,0.8,0.3,,,,,,
Aquila rapax,0.03002,0.9535,0.95,484.8,0.02012,0.8005,0.3036,,,,,,
Aquila spilogaster,0.02428,0.9561,0.95,473.8,0.01939,0.7994,0.2999,,,,,,
Aquila verreauxii,0.02301,0.968,0.95,563.4,0.02312,0.8,0.3004,,,,,,
Hieraaetus morphnoides,0.02261,0.9615,0.95,683.4,0.0281,0.8002,0.301,,,,,,
Stephanoaetus coronatus,0.02354,0.9602,0.95,474.2,0.01945,0.7999,0.3004,,,,,,
Accipiter cooperii,0.04894,0.9739,0.95,329.7,0.01348,0.8003,0.2993,,,,,,
Accipiter fasciatus,0.01845,0.9877,0.95,926.0,0.03807,0.8,0.301,,,,,,
Accipiter nisus,0.01907,0.9621,0.95,913.7,0.03751,0.8002,0.3005,,,,,,
Accipiter striatus,0.02148,0.9307,0.95,526.5,0.02156,0.7998,0.2999,,,,,,
Circus aeruginosus,0.01997,0.9636,0.95,742.0,0.03049,0.8001,0.3009,,,,,,
Circus cyaneus,0.01887,0.9468,0.95,1317.0,0.05374,0.7996,0.299,,,,,,
Milvus migrans,0.03183,0.9405,0.95,654.1,0.02718,0.7998,0.3044,,,,,,
Milvus milvus,0.0332,0.9647,0.95,555.7,0.02313,0.801,0.3044,,,,,,
Haliaeetus albicilla,0.03075,0.9548,0.95,500.8,0.01616,0.7951,0.2378,,,,,,
Haliaeetus leucocephalus,0.02312,0.9796,0.95,1300.0,0.05358,0.8008,0.3014,,,,,,
Haliaeetus pelagicus,0.03146,0.9887,0.95,320.0,0.01308,0.7993,0.2995,,,,,,
Butastur rufipennis,0.02837,0.9258,0.95,1067.0,0.04614,0.8021,0.3158,,,,,,
Buteo brachyurus,0.02434,0.9467,0.95,737.4,0.03026,0.8001,0.3004,,,,,,
Buteo jamaicensis,0.03412,0.9262,0.95,665.2,0.02685,0.7989,0.296,,,,,,
Buteo lagopus,0.0375,0.9463,0.95,424.4,0.01705,0.7982,0.2948,,,,,,
Buteo lineatus,0.02994,0.9252,0.95,645.0,0.02641,0.8014,0.2993,,,,,,
Buteo oreophilus,0.03053,0.9394,0.95,574.7,0.02362,0.8001,0.3009,,,,,,
Buteo plagiatus,0.0274,0.9249,0.95,792.9,0.0323,0.8001,0.2982,,,,,,
Buteo platypterus,0.02967,0.9599,0.95,550.0,0.02288,0.8006,0.3043,,,,,,
Buteo rufofuscus,0.0213,0.9864,0.95,396.6,0.0164,0.8018,0.302,,,,,,
Buteo swainsoni,0.03051,0.973,0.95,539.3,0.02206,0.7997,0.2997,,,,,,
Buteogallus anthracinus,0.02321,0.9388,0.95,753.2,0.03064,0.7984,0.2985,,,,,,
Ictinia mississippiensis,0.02481,0.9564,0.95,535.9,0.023,0.8012,0.3138,,,,,,
Parabuteo unicinctus,0.02319,0.9546,0.95,662.3,0.02713,0.7998,0.3,,,,,,
Pandion haliaetus,0.01921,0.9616,0.95,1426.0,0.05848,0.7998,0.3004,,,,,,
Sagittarius serpentarius,0.05009,0.9815,0.95,47.45,0.001999,0.7978,0.3093,,,,,,
Cathartes aura,0.02221,0.9419,0.95,784.7,0.0318,0.7994,0.297,,,,,,
Coragyps atratus,0.02428,0.9352,0.95,461.4,0.01898,0.8002,0.3011,,,,,,
Sarcoramphus papa,0.02138,0.976,0.95,432.8,0.01778,0.8004,0.3006,,,,,,
Vultur gryphus,0.02118,0.9349,0.95,556.6,0.02366,0.8019,0.3106,,,,,,
Tyto alba,0.01809,0.7826,0.95,675.0,0.02805,0.8004,0.3041,,,,,,
Ninox novaeseelandiae,0.03017,0.9292,0.95,552.6,0.02275,0.8,0.3015,,,,,,
Ninox strenua,0.02758,0.971,0.95,361.2,0.01487,0.8002,0.3013,,,,,,
Micrathene whitneyi,0.03346,0.8716,0.95,213.1,0.008743,0.8001,0.3003,,,,,,
Aegolius acadicus,0.02154,0.9324,0.95,533.1,0.02227,0.7992,0.3062,,,,,,
Aegolius funereus,0.02256,0.9274,0.95,505.5,0.02077,0.7989,0.3013,,,,,,
Athene brama,0.02309,0.8496,0.95,777.3,0.03203,0.7998,0.3018,,,,,,
Athene noctua,0.02042,0.9447,0.95,944.8,0.03885,0.8001,0.3011,,,,,,
Surnia ulula,0.02445,0.9212,0.95,836.1,0.03426,0.8003,0.2999,,,,,,
Glaucidium brasilianum,0.02322,0.8795,0.95,536.7,0.02206,0.8008,0.3007,,,,,,
Otus senegalensis,0.03039,0.9059,0.95,607.9,0.02407,0.7988,0.2904,,,,,,
Asio otus,0.03471,0.955,0.95,369.9,0.01511,0.7993,0.2994,,,,,,
Asio flammeus,0.02615,0.9293,0.95,849.5,0.03466,0.7999,0.2988,,,,,,
Bubo bengalensis,0.02591,0.9861,0.95,530.3,0.02181,0.7998,0.3012,,,,,,
Bubo bubo,0.02886,0.9752,0.95,459.3,0.01861,0.7996,0.2967,,,,,,
Bubo lacteus,0.03189,0.9687,0.95,557.4,0.02276,0.8006,0.2987,,,,,,
Bubo scandiacus,0.0349,0.9693,0.95,277.5,0.01084,0.7971,0.2871,,,,,,
Bubo virginianus,0.03207,0.9792,0.95,645.9,0.02558,0.7976,0.2909,,,,,,
Psiloscops flammeolus,0.0257,0.9379,0.95,885.3,0.03588,0.7989,0.2972,,,,,,
Megascops asio,0.0267,0.938,0.95,658.5,0.02705,0.7999,0.3008,,,,,,
Megascops choliba,0.02892,0.9602,0.95,521.9,0.02138,0.8001,0.2998,,,,,,
Megascops kennicottii,0.02412,0.9415,0.95,866.1,0.03552,0.8004,0.3001,,,,,,
Megascops trichopsis,0.0258,0.8937,0.95,743.1,0.03005,0.7988,0.2966,,,,,,
Strix occidentalis,0.1005,0.9288,0.95,19.83,0.0008134,0.8003,0.3003,,,,,,
Strix uralensis,0.0322,0.9703,0.95,559.9,0.02292,0.7994,0.3,,,,,,
Urocolius macrourus,0.03812,0.9543,0.95,775.6,0.03155,0.8,0.2979,,,,,,
Leptosomus discolor,0.0264,0.9926,0.95,253.7,0.01052,0.8015,0.303,,,,,,
Euptilotis neoxenus,0.02842,0.9246,0.95,1185.0,0.04863,0.8004,0.3005,,,,,,
Upupa epops,0.02524,0.8263,0.95,1104.0,0.04532,0.7996,0.3007,,,,,,
Rhinopomastus cyanomelas,0.03612,0.9213,0.95,524.2,0.02155,0.8,0.3011,,,,,,
Anthracoceros malayanus,0.03606,0.957,0.95,655.1,0.0269,0.8001,0.3007,,,,,,
Buceros bicornis,0.02428,0.9592,0.95,425.5,0.0175,0.8004,0.301,,,,,,
Rhabdotorrhinus corrugatus,0.03075,0.9794,0.95,523.8,0.01703,0.7921,0.2405,,,,,,
Rhabdotorrhinus exarhatus,0.02365,0.9555,0.95,555.6,0.02245,0.8002,0.2958,,,,,,
Rhabdotorrhinus waldeni,0.03471,0.9801,0.95,275.9,0.01141,0.7998,0.3029,,,,,,
Tockus monteiri,0.0337,0.8189,0.95,586.1,0.0272,0.8044,0.338,,,,,,
Bucorvus abyssinicus,0.03104,0.9936,0.95,306.4,0.01236,0.7995,0.2957,,,,,,
Bucorvus leadbeateri,0.02084,0.9712,0.95,654.4,0.02679,0.8002,0.2997,,,,,,
Ceryle rudis,0.1032,0.9272,0.95,227.5,0.008942,0.797,0.2888,,,,,,
Halcyon smyrnensis,0.04735,0.8136,0.95,927.4,0.03813,0.7983,0.3017,,,,,,
Megaceryle alcyon,0.04595,0.9007,0.95,537.1,0.02202,0.8005,0.3,,,,,,
Todiramphus cinnamominus,0.02779,0.8958,0.95,716.4,0.02873,0.7992,0.2939,,,,,,
Coracias benghalensis,0.04222,0.9069,0.95,666.4,0.02893,0.8015,0.3173,,,,,,
Coracias cyanogaster,0.04209,0.9613,0.95,556.7,0.02241,0.7996,0.2949,,,,,,
Coracias naevius,0.04219,0.9688,0.95,528.5,0.02149,0.7995,0.298,,,,,,
Eurystomus orientalis,0.04107,0.9594,0.95,556.2,0.02279,0.8,0.3001,,,,,,
Merops apiaster,0.03382,0.8317,0.95,728.5,0.02978,0.8001,0.2993,,,,,,
Merops bulocki,0.02242,0.9342,0.95,792.9,0.03264,0.7997,0.3016,,,,,,
Merops orientalis,0.04795,0.8369,0.95,628.7,0.0256,0.7998,0.2982,,,,,,
Merops pusillus,0.03089,0.8096,0.95,623.2,0.02562,0.7999,0.3011,,,,,,
Merops viridis,0.0315,0.857,0.95,419.2,0.01717,0.7995,0.3001,,,,,,
Micromonacha lanceolata,0.04584,0.9293,0.95,428.7,0.01761,0.804,0.2994,,,,,,
Lybius torquatus,0.04392,0.744,0.95,269.0,0.01095,0.7995,0.2983,,,,,,
Aulacorhynchus prasinus,0.03852,0.9068,0.95,516.2,0.02145,0.8005,0.3041,,,,,,
Pteroglossus bailloni,0.03443,0.9018,0.95,537.7,0.02314,0.8026,0.3141,,,,,,
Pteroglossus castanotis,0.04276,0.9332,0.95,484.9,0.02336,0.8031,0.3514,,,,,,
Pteroglossus torquatus,0.04029,0.8588,0.95,602.3,0.02635,0.8018,0.3196,,,,,,
Pteroglossus viridis,0.04049,0.9095,0.95,413.9,0.01705,0.8006,0.3013,,,,,,
Ramphastos dicolorus,0.03809,0.8037,0.95,872.3,0.03854,0.8045,0.3217,,,,,,
Ramphastos sulfuratus,0.02877,0.7382,0.95,903.1,0.03862,0.8022,0.3123,,,,,,
Ramphastos toco,0.03726,0.9671,0.95,575.2,0.02402,0.8007,0.3055,,,,,,
Selenidera piperivora,0.04138,0.736,0.95,489.9,0.01977,0.8001,0.2955,,,,,,
Indicator indicator,0.05439,0.5152,0.95,182.0,0.007315,0.8008,0.294,,,,,,
Indicator minor,0.04405,0.3919,0.95,136.0,0.005401,0.8024,0.29,,,,,,
Campephilus magellanicus,0.03868,0.7064,0.95,593.2,0.02633,0.8033,0.3236,,,,,,
Dryobates pubescens,0.04206,0.6789,0.95,776.9,0.03401,0.8031,0.3193,,,,,,
Dryocopus martius,0.05611,0.9596,0.95,633.7,0.02672,0.8007,0.3085,,,,,,
Dryocopus pileatus,0.05202,0.9334,0.95,922.7,0.03749,0.7988,0.298,,,,,,
Jynx torquilla,0.0174,0.9203,0.95,799.1,0.0327,0.8005,0.2995,,,,,,
Leuconotopicus borealis,0.04423,0.6975,0.95,742.5,0.03236,0.8052,0.317,,,,,,
Melanerpes formicivorus,0.03596,0.7035,0.95,787.6,0.03291,0.8028,0.3049,,,,,,
Picoides arcticus,0.04904,0.9584,0.95,323.6,0.01325,0.8006,0.2996,,,,,,
Picumnus nebulosus,0.02759,0.7151,0.95,553.2,0.02171,0.7992,0.2877,,,,,,
Cariama cristata,0.03943,0.993,0.95,518.7,0.02113,0.7997,0.2985,,,,,,
Falco berigora,0.0321,0.9739,0.95,490.3,0.01999,0.7995,0.2988,,,,,,
Falco biarmicus,0.03081,0.9483,0.95,383.9,0.01604,0.8009,0.3057,,,,,,
Falco chicquera,0.02477,0.9237,0.95,463.1,0.01908,0.7995,0.3018,,,,,,
Falco columbarius,0.02222,0.9442,0.95,639.4,0.02622,0.8002,0.3002,,,,,,
Falco mexicanus,0.02456,0.963,0.95,848.0,0.03475,0.7993,0.3003,,,,,,
Falco naumanni,0.02395,0.9542,0.95,487.4,0.01997,0.8,0.3001,,,,,,
Falco peregrinus,0.03279,0.9707,0.95,513.1,0.02125,0.7999,0.3034,,,,,,
Falco sparverius,0.01989,0.8969,0.95,693.5,0.02848,0.8039,0.2993,,,,,,
Falco tinnunculus,0.02505,0.9264,0.95,662.4,0.02729,0.7999,0.3017,,,,,,
Herpetotheres cachinnans,0.03622,0.9452,0.95,544.9,0.02272,0.7993,0.3055,,,,,,
Strigops habroptila,0.03006,0.9813,0.95,581.2,0.0228,0.7991,0.2876,,,,,,
Nestor notabilis,0.02733,0.9758,0.95,1215.0,0.04988,0.7992,0.3008,,,,,,
Nymphicus hollandicus,0.02737,0.9456,0.95,463.1,0.01913,0.8007,0.3022,,,,,,
Calyptorhynchus banksii,0.03299,0.9562,0.95,468.9,0.01991,0.8012,0.3105,,,,,,
Calyptorhynchus lathami,0.02834,0.9619,0.95,483.1,0.02098,0.8009,0.3176,,,,,,
Zanda funerea,0.02444,0.9621,0.95,520.7,0.02098,0.7982,0.2958,,,,,,
Zanda latirostris,0.02635,0.7149,0.95,524.3,0.02257,0.8021,0.3143,,,,,,
Probosciger aterrimus,0.02162,0.9659,0.95,533.2,0.02254,0.8011,0.309,,,,,,
Eolophus roseicapilla,0.02129,0.9637,0.95,574.9,0.02328,0.8013,0.296,,,,,,
Cacatua ophthalmica,0.03621,0.9099,0.95,347.6,0.03822,0.8186,0.787,,,,,,
Cacatua moluccensis,0.03038,0.9891,0.95,549.9,0.02216,0.8,0.2951,,,,,,
Cacatua pastinator,0.02675,0.9596,0.95,530.8,0.02182,0.7998,0.3011,,,,,,
Cacatua tenuirostris,0.0343,0.9653,0.95,567.7,0.02332,0.8002,0.3008,,,,,,
Lophochroa leadbeateri,0.02793,0.9417,0.95,374.1,0.01541,0.799,0.302,,,,,,
Cyanoramphus novaezelandiae,0.01646,0.7683,0.95,769.2,0.03237,0.8031,0.3069,,,,,,
Poicephalus robustus,0.01511,0.9588,0.95,547.0,0.0229,0.8002,0.3064,,,,,,
Poicephalus cryptoxanthus,0.01661,0.9306,0.95,462.0,0.01915,0.8002,0.3035,,,,,,
Prosopeia tabuensis,0.02591,0.7583,0.95,1118.0,0.05171,0.8044,0.3368,,,,,,
Ara ararauna,0.02452,0.9663,0.95,538.5,0.02196,0.8003,0.2986,,,,,,
Ara glaucogularis,0.02362,0.9609,0.95,547.4,0.02377,0.7991,0.3182,,,,,,
Ara macao,0.02766,0.7315,0.95,531.4,0.02015,0.7991,0.278,,,,,,
Cyanoliseus patagonus,0.02897,0.5684,0.95,581.9,0.02603,0.8031,0.3263,,,,,,
Cyanopsitta spixii,0.03796,0.8671,0.95,470.0,0.02166,0.8071,0.3344,,,,,,
Enicognathus ferrugineus,0.02482,0.7129,0.95,523.0,0.02214,0.8037,0.3085,,,,,,
Amazona aestiva,0.02238,0.9678,0.95,495.1,0.02086,0.8021,0.3077,,,,,,
Amazona agilis,0.02509,0.7304,0.95,536.8,0.02182,0.8004,0.2974,,,,,,
Amazona amazonica,0.02937,0.7376,0.95,580.7,0.02251,0.7998,0.2839,,,,,,
Amazona finschi,0.02279,0.933,0.95,570.0,0.02333,0.7996,0.2998,,,,,,
Myiopsitta monachus,0.01593,0.7061,0.95,447.1,0.0184,0.7998,0.3015,,,,,,
Bolborhynchus lineola,0.02477,0.9536,0.95,498.4,0.02114,0.8011,0.3102,,,,,,
Forpus passerinus,0.01907,0.6521,0.95,438.4,0.01823,0.8004,0.3043,,,,,,
Psittrichas fulgidus,0.02476,0.9629,0.95,547.7,0.02234,0.7998,0.2988,,,,,,
Coracopsis barklyi,0.05884,0.971,0.95,472.4,0.0189,0.7965,0.2942,,,,,,
Agapornis personatus,0.0302,0.6969,0.95,547.7,0.02226,0.802,0.2968,,,,,,
Agapornis roseicollis,0.02362,0.7048,0.95,502.2,0.02096,0.8004,0.3054,,,,,,
Eos histrio,0.02126,0.9416,0.95,436.3,0.01834,0.8009,0.3075,,,,,,
Melopsittacus undulatus,0.024,0.9653,0.95,562.3,0.02303,0.7973,0.3009,,,,,,
Psittaculirostris salvadorii,0.0252,0.7411,0.95,521.2,0.021,0.7997,0.2951,,,,,,
Trichoglossus euteles,0.02102,0.6931,0.95,498.5,0.02043,0.8,0.3002,,,,,,
Trichoglossus haematodus,0.02457,0.6829,0.95,563.6,0.02318,0.8003,0.301,,,,,,
Eunymphicus cornutus,0.02885,0.9534,0.95,309.6,0.01266,0.7998,0.2995,,,,,,
Neophema chrysogaster,0.02155,0.9092,0.95,502.2,0.02081,0.8011,0.303,,,,,,
Eclectus roratus,0.02097,0.9264,0.95,672.4,0.0314,0.8086,0.3383,,,,,,
Psittacula eupatria,0.03044,0.961,0.95,480.8,0.01994,0.8022,0.3028,,,,,,
Psittacula krameri,0.02386,0.9172,0.95,519.7,0.02214,0.8013,0.3114,,,,,,
Acanthisitta chloris,0.0193,0.6862,0.95,492.0,0.02005,0.8002,0.2984,,,,,,
Pitta iris,0.03735,0.9485,0.95,949.9,0.03877,0.7994,0.2991,,,,,,
Pitta versicolor,0.04478,0.797,0.95,480.3,0.02029,0.8009,0.309,,,,,,
Cercomacroides serva,0.03359,0.9638,0.95,747.0,0.03024,0.7998,0.2965,,,,,,
Frederickena unduliger,0.06658,0.9636,0.95,512.3,0.02138,0.8013,0.305,,,,,,
Hafferia fortis,0.05545,0.952,0.95,693.8,0.02951,0.8034,0.3101,,,,,,
Sakesphorus canadensis,0.03682,0.9384,0.95,584.3,0.02392,0.8018,0.2991,,,,,,
Thamnophilus caerulescens,0.03174,0.9191,0.95,954.0,0.03912,0.8007,0.3,,,,,,
Grallaricula ferrugineipectus,0.02952,0.9691,0.95,657.3,0.02723,0.8009,0.303,,,,,,
Rhinocrypta lanceolata,0.05246,0.9802,0.95,611.4,0.02498,0.8002,0.2991,,,,,,
Scytalopus latrans,0.04176,0.9578,0.95,845.4,0.03481,0.8008,0.3012,,,,,,
Scytalopus parvirostris,0.0467,0.9449,0.95,676.0,0.02719,0.7979,0.2953,,,,,,
Dendrocolaptes platyrostris,0.0593,0.8512,0.95,584.4,0.0228,0.7997,0.2857,,,,,,
Dendroplex picus,0.03601,0.9121,0.95,1073.0,0.04339,0.7993,0.2964,,,,,,
Xiphocolaptes falcirostris,0.04606,0.9665,0.95,721.2,0.02937,0.7999,0.2982,,,,,,
Aphrastura spinicauda,0.03626,0.6089,0.95,449.2,0.01897,0.7996,0.3095,,,,,,
Phacellodomus ruber,0.03778,0.6887,0.95,1305.0,0.05348,0.8,0.3001,,,,,,
Phacellodomus sibilatrix,0.04712,0.9219,0.95,334.9,0.01368,0.8003,0.299,,,,,,
Premnoplex brunnescens,0.01809,0.9697,0.95,406.8,0.01706,0.8012,0.3066,,,,,,
Pseudoseisura lophotes,0.03188,0.9629,0.95,583.5,0.02381,0.7998,0.2989,,,,,,
Thripadectes holostictus,0.04231,0.9683,0.95,678.9,0.02825,0.8002,0.3046,,,,,,
Chiroxiphia boliviana,0.01924,0.993,0.95,1367.0,0.001968,0.8004,0.01053,,,,,,
Chiroxiphia lanceolata,0.09307,0.974,0.95,44.25,0.002,0.8024,0.3299,,,,,,
Masius chrysopterus,0.01943,0.9703,0.95,458.9,0.01944,0.8019,0.3095,,,,,,
Procnias averano,0.03124,0.9607,0.95,618.2,0.02581,0.8001,0.3056,,,,,,
Myiobius atricaudus,0.02219,0.9179,0.95,421.7,0.01732,0.7998,0.3008,,,,,,
Schiffornis turdina,0.02585,0.9681,0.95,495.7,0.02,0.7996,0.2956,,,,,,
Empidonax difficilis,0.07733,0.9278,0.95,19.63,0.0008075,0.8043,0.2996,,,,,,
Empidonax oberholseri,0.02325,0.9241,0.95,924.1,0.03814,0.8004,0.302,,,,,,
Empidonax traillii,0.03329,0.9375,0.95,1008.0,0.04175,0.7998,0.3034,,,,,,
Empidonax virescens,0.03291,0.9302,0.95,788.8,0.03211,0.8007,0.2978,,,,,,
Leptopogon amaurocephalus,0.02684,0.9146,0.95,943.2,0.03925,0.8002,0.3046,,,,,,
Mionectes macconnelli,0.03394,0.9549,0.95,587.3,0.02391,0.7987,0.2986,,,,,,
Mionectes oleagineus,0.0434,0.8923,0.95,339.8,0.01381,0.7982,0.2983,,,,,,
Myiarchus cinerascens,0.0369,0.8756,0.95,793.4,0.03281,0.7987,0.3033,,,,,,
Myiozetetes similis,0.03143,0.957,0.95,561.5,0.02336,0.8005,0.3044,,,,,,
Rhynchocyclus fulvipectus,0.02133,0.9484,0.95,448.3,0.0186,0.8002,0.3038,,,,,,
Sayornis phoebe,0.02603,0.8368,0.95,691.0,0.0288,0.8006,0.3049,,,,,,
Tolmomyias sulphurescens,0.02214,0.9426,0.95,399.8,0.01642,0.8011,0.3004,,,,,,
Tyrannus forficatus,0.04854,0.9724,0.95,601.0,0.02597,0.8039,0.3149,,,,,,
Tyrannus melancholicus,0.03386,0.9577,0.95,673.2,0.02724,0.7994,0.2965,,,,,,
Tyrannus savana,0.04634,0.9687,0.95,670.0,0.02727,0.8,0.298,,,,,,
Tyrannus tyrannus,0.05205,0.9637,0.95,604.6,0.02494,0.8006,0.3018,,,,,,
Xolmis pyrope,0.02789,0.9762,0.95,621.8,0.02546,0.7997,0.2999,,,,,,
Zimmerius chrysops,0.02391,0.9596,0.95,626.0,0.02511,0.7983,0.2943,,,,,,
Menura novaehollandiae,0.02043,0.972,0.95,443.5,0.01804,0.7998,0.298,,,,,,
Archboldia papuensis,0.03241,0.961,0.95,486.6,0.02009,0.8006,0.3021,,,,,,
Chlamydera nuchalis,0.04415,0.988,0.95,444.2,0.01816,0.8004,0.2992,,,,,,
Ailuroedus crassirostris,0.0356,0.9744,0.95,376.7,0.01523,0.7995,0.2963,,,,,,
Malurus splendens,0.04386,0.9488,0.95,650.7,0.02599,0.7987,0.293,,,,,,
Manorina melanophrys,0.03441,0.9871,0.95,444.7,0.01824,0.8022,0.2996,,,,,,
Ramsayornis modestus,0.03221,0.9694,0.95,549.5,0.02236,0.7993,0.2982,,,,,,
Acanthiza chrysorrhoa,0.02477,0.8778,0.95,935.9,0.03827,0.7999,0.2994,,,,,,
Acanthiza inornata,0.02393,0.8432,0.95,840.1,0.03485,0.8003,0.3036,,,,,,
Gerygone igata,0.03622,0.8751,0.95,89.86,0.003633,0.8013,0.2955,,,,,,
Gerygone flavolateralis,0.02542,0.9665,0.95,338.3,0.01408,0.803,0.3036,,,,,,
Pyrrholaemus sagittatus,0.02807,0.8547,0.95,446.7,0.01833,0.8018,0.2998,,,,,,
Pomatostomus temporalis,0.02323,0.9633,0.95,408.6,0.01684,0.8003,0.3017,,,,,,
Mohoua novaeseelandiae,0.02472,0.9394,0.95,564.9,0.02313,0.8,0.2998,,,,,,
Tunchiornis ochraceiceps,0.03384,0.9651,0.95,678.9,0.02754,0.8025,0.2961,,,,,,
Oriolus sagittatus,0.03862,0.975,0.95,730.3,0.02907,0.7997,0.2916,,,,,,
Euryceros prevostii,0.04677,0.9683,0.95,527.8,0.02167,0.7998,0.3006,,,,,,
Chasiempis sandwichensis,0.02835,0.9601,0.95,558.3,0.02297,0.7992,0.3016,,,,,,
Dicrurus macrocercus,0.03902,0.9661,0.95,572.8,0.02358,0.7989,0.3018,,,,,,
Paradisaea rubra,0.04085,0.9858,0.95,744.7,0.03078,0.8011,0.3023,,,,,,
Paradigalla brevicauda,0.0464,0.9681,0.95,534.9,0.02103,0.7986,0.2883,,,,,,
Astrapia mayeri,0.03833,0.9691,0.95,594.8,0.0239,0.8001,0.2942,,,,,,
Melampitta lugubris,0.02158,0.9395,0.95,508.3,0.02076,0.7998,0.2991,,,,,,
Lanius collaris,0.05574,0.9513,0.95,420.4,0.0166,0.7984,0.2897,,,,,,
Lanius collurio,0.03893,0.9719,0.95,501.0,0.02062,0.7997,0.3014,,,,,,
Lanius excubitor,0.07725,0.8849,0.95,128.0,0.005302,0.8008,0.303,,,,,,
Lanius phoenicuroides,0.03433,0.9598,0.95,688.6,0.02857,0.8011,0.3033,,,,,,
Lanius senator,0.0392,0.9552,0.95,522.0,0.02131,0.7997,0.2989,,,,,,
Lanius tephronotus,0.0374,0.9196,0.95,573.1,0.02344,0.8001,0.2995,,,,,,
Cyanopica cyanus,0.03917,0.9631,0.95,464.9,0.01907,0.8,0.3003,,,,,,
Aphelocoma coerulescens,0.0321,0.944,0.95,565.5,0.02367,0.8021,0.3057,,,,,,
Cyanocorax beecheii,0.04136,0.9624,0.95,532.6,0.02175,0.7999,0.2991,,,,,,
Gymnorhinus cyanocephalus,0.03626,0.9558,0.95,515.5,0.02122,0.8002,0.3013,,,,,,
Corvus albus,0.04453,0.9786,0.95,985.2,0.04285,0.8033,0.3172,,,,,,
Corvus brachyrhynchos,0.03602,0.9718,0.95,668.7,0.02732,0.7999,0.2992,,,,,,
Corvus caurinus,0.0435,0.9543,0.95,522.8,0.02164,0.7999,0.3031,,,,,,
Corvus corax,0.03148,0.9688,0.95,2359.0,0.09668,0.8004,0.2999,,,,,,
